,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,love,hurt,goodbye,friend,hopeless,memory,play,sad
572,Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,2021,9,3,5.199,0,594.482982,45,43,0.045,0,3,146,F,Minor,85,22,37,13,0,7,30,0.9636646,0.85074675,0.9062092,0.8597368,0.93134314,0.9360908,0.88794595,0.9096009
573,Don't Be Shy,Tiësto & Karol G,2,2021,8,1,6.026,0,566.954746,171,51,0.187,1,,120,B,Minor,77,51,79,20,0,26,6,0.7361096,0.7447925,0.775339,0.7851068,0.571046,0.7805901,0.7938018,0.7768062
574,Love Grows (Where My Rosemary Goes),Edison Lighthouse,1,1970,1,1,2.877,0,,16,0,0.054,0,0,110,A,Major,53,75,69,7,0,17,3,0.6266383,0.9275608,0.9001556,0.8324993,0.939159,0.82454914,0.9023002,0.9069246
575,LA FAMA (with The Weeknd),"The Weeknd, ROSALÍA",2,2021,11,11,4.64,3,374.70694,81,93,0.507,6,,136,,Minor,77,82,30,95,0,13,5,0.7666771,0.9068592,0.879635,0.7329335,0.9018193,0.85400736,0.81412363,0.9338983
576,The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,2021,11,19,1.15,0,184.937148,20,38,0.012,0,0,141,C#,Major,59,56,63,12,0,6,36,0.8747511,0.9598819,0.97913575,0.85649395,0.99813205,0.87705654,0.9375061,0.91201115
577,Phantom Regret by Jim,The Weeknd,1,2022,1,7,0.768,0,31.959571,1,1,0.003,0,0,108,A,Minor,46,23,48,75,30,14,4,0.9607313,0.9248423,0.9912329,0.93182236,0.97056717,0.8808244,0.9850186,0.9100672
578,Dos Oruguitas,Sebastian Yatra,1,2021,11,19,0.925,0,167.076418,24,47,0.074,0,0,94,,Major,42,47,36,76,0,9,5,0.830543,0.8037498,0.8467788,0.85128856,0.81847584,0.83649844,0.8601557,0.84500116
579,Freaks,Surf Curse,1,2015,5,10,3.006,3,824.420218,23,21,0.121,0,13,180,A,Major,35,41,94,0,63,5,5,0.7230495,0.7109092,0.73420167,0.6314156,0.7005166,0.71168095,0.6876041,0.7048515
580,Acapulco,Jason Derulo,1,2021,9,1,3.098,0,363.467642,111,5,0.182,1,0,122,A#,Major,77,51,79,5,0,16,5,0.7854636,0.8243972,0.8116772,0.78500134,0.76880324,0.84080887,0.78990257,0.8300827
581,Daddy Issues,The Neighbourhood,1,2015,10,30,9.771,4,1127.468248,42,70,0.384,0,3,85,A#,Major,59,33,52,7,15,12,3,0.7865136,0.7862091,0.8325151,0.79998845,0.8612068,0.81091034,0.7868852,0.7533587
582,thought i was playing,"21 Savage, Gunna",2,2022,1,7,0.807,0,60.680939,3,0,0.005,0,0,148,C#,Major,68,29,73,0,0,7,7,0.73735154,0.7348116,0.8012374,0.720068,0.7845776,0.7365617,0.47800648,0.76934415
