,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
1702,Dime C�mo Qui,Dime C�mo Qui,Christian Nodal,11/12/2020,MXUM72006106,"1,692",35.5,"261,261,845","25,570","7,968,718",65.0,"818,241,698","5,238,973","283,651","33,684,334","333,893,267","24,950,130",23.0,"13,271",224,21.0,"2,759,428",27.0,"35,336,195","10,178",,"937,662",,0
1733,� � � �,� � � �,Md Faisal Ahmed,7/9/2023,QZLQR2199831,"1,731",35.1,"2,274",,,,"298,368,336","1,953,917",,,,,,,,,,,,,,,,0
1746,Abcdario,Abcdario,Eden Mu�,5/13/2023,MXB952300035,"1,738",35.0,"262,504,588","19,709","8,079,760",72.0,"149,083,889","660,503",1,33,939,"10,312,183",20.0,"1,140",,5.0,"1,365,319",3.0,"8,484,383","4,718","2,834,823","657,427",,0
1786,DNA,Love Yourself �,BTS,9/18/2017,KRA381702187,"1,778",34.5,"632,727,904","26,053","8,457,280",63.0,"1,758,381,885","26,790,883","402,921","92,435,774","537,359,844","135,121,227",34.0,"2,143",8,8.0,"195,740",,,,,"1,075,755",,0
1799,The Magic Bomb,The Magic Bomb,Ho�ng ,4/20/2021,NLZ542100934,"1,788",34.4,"4,224,438","2,333","240,248",31.0,"4,404,312","94,056","6,400,664","838,003,900","10,173,667,723","994,101",3.0,3,205,1.0,"2,116",3.0,"889,278",717,,"13,990",,0
1816,F�S,F�S,Britney Manson,8/11/2023,RUB862300027,"1,808",34.2,"140,756,753","20,909","5,720,836",36.0,"60,902,734","885,239","425,901","139,431,702","982,755,143","84,060,916",,11,,2.0,"27,804",,"378,942","1,511",,"459,549",,1
1817,Danza Kuduro (feat. Lucenzo),100% tubes de l'�t� 2018 : La bande son 100,Don Omar,6/15/2018,FR6F31821340,"1,809",34.2,"1,655,575,417","1,108","64,350",40.0,"1,498,854,054","6,607,472",9,371,"8,882","155,196,257",,,,,,,,,,,,0
1820,"She�s Gone, Da","She�s Gone, Da",Disclosure,5/29/2024,USA2P2420371,"1,813",34.2,"7,021,860","2,000","61,759,962",,"149,674","5,277",,"146,800","816,500",,52.0,"1,746",2,39.0,"2,175,560",41.0,"25,891",20,"189,590","40,920",,0
1821,�,�,Parkmalody,10/14/2023,TCAHL2371470,"1,804",34.2,"13,900,332","1,737","402,173",,"65,378,730","231,736","847,700","4,605,027","59,606,925","26,646,344",3.0,958,,,,,,,,"24,734",,0
1825,Corrido de Juan Armenta,Los Temas de Mis Pel�c,Vicente Fern�,5/27/2024,MXF012400279,"1,816",34.1,"68,134",3,138,,,,,,,,,,,,,,"10,721,923","6,628",,,,0
1838,La Intenci�,La Intenci�,Christian Nodal,1/26/2024,QZQPC2100130,"1,831",34.0,"119,369,458","5,866","19,272,195",,"38,415,068","389,722","43,600","16,305,600","171,858,600","315,995,610",18.0,"8,223",1,18.0,"103,202",25.0,"9,198,529","1,038",,"380,747",,0
1841,Volv�,Volv� - Si,Aventura,8/3/2021,QMFME2168127,"1,833",34.0,"780,755,736","107,320","35,444,438",72.0,"89,683,527","493,296","30,301","6,103,064","49,294,071",,97.0,"39,183",129,25.0,"383,440",46.0,"69,320,555","14,510",,"1,804,089",,1
1843,Super,� �10� 'FML' - EP,SEVENTEEN,4/24/2023,USA2P2310675,"1,839",33.9,"210,481,840","14,690","8,191,208",67.0,"209,677,493","2,906,443","95,008","178,551,449","1,027,127,321","571,782,627",29.0,"3,674",27,5.0,"180,148",24.0,"645,104",601,,"491,972",,0
1852,LOOK DON�T TOUCH (feat. cade ,LOOK DON�T TOUCH (feat. cade ,Odetari,5/17/2023,QZVFR2301356,"1,848",33.8,"184,630,078","29,450","3,853,996",69.0,"63,500,291","813,255","66,100","15,513,962","102,841,979","69,529",2.0,4,,,,,"1,043,199","2,591","6,749,208","683,699",,1
1872,TUS L�GR,Microdosis,Mora,4/1/2022,QM4TX2252947,"1,862",33.7,"231,258,162","42,133","12,601,998",64.0,"143,774,447","773,465","1,754,800","79,825,538","760,223,916","317,485,352",27.0,"5,833",368,1.0,"46,161",20.0,"3,321,809",662,,"616,275",,1
1882,El T�,El T�,Grupo Firme,10/27/2020,QZDQH1906375,"1,877",33.6,"432,634,168","31,429","17,749,866",59.0,"699,174,305","2,537,896","128,548","12,531,029","168,805,311","19,333,484",16.0,"5,054",134,7.0,"6,081,112",38.0,"92,147,328","21,527",,"1,109,128",,0
1928,"QU�TENME EL TEL�FONO (feat. Yandel, Jay ",The Academy: Segunda Misi�,The Academy: Segunda Misi�,3/28/2024,USWL12400695,"1,919",33.0,"39,876,490","5,502","29,909,107",70.0,"22,359,938","133,504",,,,"9,505,646",6.0,"1,304",,7.0,"228,766",19.0,"320,121",241,,"328,225",,1
1933,GOSSIP (feat. Tom Morello),GOSSIP (feat. Tom Morello),M�ne,1/13/2023,ITB002200841,"1,925",33.0,"239,288,183","42,084","9,541,843",71.0,"56,033,826","823,483","274,300","20,568,859","206,096,023","22,318,374",34.0,"38,434",36,18.0,"157,940",20.0,"2,037,712","2,656",,"1,704,066",,1
